State: 36 | Token: , -> Match failed, trying next state: 37
State: 37 | Token: , -> Jump to: 41
State: 41 | Token: , -> Return to: 91
State: 91 | Token: , -> Jump to: 87
State: 87 | Token: , -> Jump to: 89
State: 89 | Token: , -> Jump to: 90
State: 90 | Token: const [Push 91 to stack] -> Jump to: 33
State: 33 | Token: const -> Jump to: 34
State: 34 | Token: const [Push 35 to stack] -> Jump to: 50
State: 50 | Token: const -> Jump to: 51
State: 51 | Token: const [Push 52 to stack] -> Jump to: 64
State: 64 | Token: const -> Jump to: 65
State: 65 | Token: const [Push 66 to stack] -> Jump to: 74
State: 74 | Token: const -> Match failed, trying next state: 75
State: 75 | Token: const -> Jump to: 78
State: 78 | Token: const -> Return to: 66
State: 66 | Token: , -> Jump to: 67
State: 67 | Token: , -> Match failed, trying next state: 68
State: 68 | Token: , -> Jump to: 73
State: 73 | Token: , -> Return to: 52
State: 52 | Token: , -> Jump to: 53
State: 53 | Token: , -> Match failed, trying next state: 54
State: 54 | Token: , -> Jump to: 59
State: 59 | Token: , -> Return to: 35
State: 35 | Token: , -> Jump to: 36
State: 36 | Token: , -> Match failed, trying next state: 37
State: 37 | Token: , -> Jump to: 41
State: 41 | Token: , -> Return to: 91
State: 91 | Token: , -> Jump to: 87
State: 87 | Token: , -> Jump to: 89
State: 89 | Token: , -> Jump to: 90
State: 90 | Token: const [Push 91 to stack] -> Jump to: 33
State: 33 | Token: const -> Jump to: 34
State: 34 | Token: const [Push 35 to stack] -> Jump to: 50
State: 50 | Token: const -> Jump to: 51
State: 51 | Token: const [Push 52 to stack] -> Jump to: 64
State: 64 | Token: const -> Jump to: 65
State: 65 | Token: const [Push 66 to stack] -> Jump to: 74
State: 74 | Token: const -> Match failed, trying next state: 75
State: 75 | Token: const -> Jump to: 78
State: 78 | Token: const -> Return to: 66
State: 66 | Token: ] -> Jump to: 67
State: 67 | Token: ] -> Match failed, trying next state: 68
State: 68 | Token: ] -> Jump to: 73
State: 73 | Token: ] -> Return to: 52
State: 52 | Token: ] -> Jump to: 53
State: 53 | Token: ] -> Match failed, trying next state: 54
State: 54 | Token: ] -> Jump to: 59
State: 59 | Token: ] -> Return to: 35
State: 35 | Token: ] -> Jump to: 36
State: 36 | Token: ] -> Match failed, trying next state: 37
State: 37 | Token: ] -> Jump to: 41
State: 41 | Token: ] -> Return to: 91
State: 91 | Token: ] -> Jump to: 87
State: 87 | Token: ] -> Match failed, trying next state: 88
State: 88 | Token: ] -> Jump to: 92
State: 92 | Token: ] -> Return to: 81
State: 81 | Token: ] -> Return to: 66
State: 66 | Token: ; -> Jump to: 67
State: 67 | Token: ; -> Match failed, trying next state: 68
State: 68 | Token: ; -> Jump to: 73
State: 73 | Token: ; -> Return to: 52
State: 52 | Token: ; -> Jump to: 53
State: 53 | Token: ; -> Match failed, trying next state: 54
State: 54 | Token: ; -> Jump to: 59
State: 59 | Token: ; -> Return to: 35
State: 35 | Token: ; -> Jump to: 36
State: 36 | Token: ; -> Match failed, trying next state: 37
State: 37 | Token: ; -> Jump to: 41
State: 41 | Token: ; -> Return to: 17
State: 17 | Token: ; -> Jump to: 18
State: 18 | Token: ; -> Return to: 6
State: 6 | Token: int -> Jump to: 3
State: 3 | Token: int -> Jump to: 5
